circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load,units_per_service,service_utilization_ratio,avg_load_per_service,load_efficiency
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,MAHATMA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,24,22.0,3334,30.44,138.91666666666666,0.9166666666666666,1.2683333333333333,109.526938239159
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,N.R.R.PURAM -I (S),NON-DOMESTIC AND COMMERCIAL,2,77,76.0,9443,117.27,122.63636363636364,0.987012987012987,1.522987012987013,80.523578067707
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,N.R.R.PURAM SITE - II,NON-DOMESTIC AND COMMERCIAL,2,24,23.0,3242,29.74,135.08333333333334,0.9583333333333334,1.2391666666666665,109.0114324142569
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,N.R.R.PURAM SITE - III,NON-DOMESTIC AND COMMERCIAL,2,105,101.0,16863,144.92,160.6,0.9619047619047619,1.380190476190476,116.36075075903948
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,N.R.R.PURAM SITE -I,NON-DOMESTIC AND COMMERCIAL,2,101,99.0,6767,101.0,67.0,0.9801980198019802,1.0,67.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,N.R.R.PURAM-III (W),NON-DOMESTIC AND COMMERCIAL,2,65,65.0,7504,80.05,115.44615384615385,1.0,1.2315384615384615,93.74141161773892
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,NSC BOSE NAGAR,NON-DOMESTIC AND COMMERCIAL,2,30,29.0,2900,30.14,96.66666666666667,0.9666666666666667,1.0046666666666666,96.2176509621765
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,PRABHATH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,57,57.0,5782,84.04,101.43859649122807,1.0,1.4743859649122808,68.8005711565921
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,PRATHIBHA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,11,11.0,481,9.04,43.72727272727273,1.0,0.8218181818181818,53.207964601769916
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,RAJ NAGAR,NON-DOMESTIC AND COMMERCIAL,2,184,177.0,31481,257.46,171.0923913043478,0.9619565217391305,1.3992391304347824,122.27530490173231
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,"RAJEENAGAR,FATIMANAGAR",NON-DOMESTIC AND COMMERCIAL,2,171,161.0,41854,402.91,244.76023391812865,0.9415204678362573,2.356198830409357,103.87927825072596
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,S.R.T.NAGAR,NON-DOMESTIC AND COMMERCIAL,2,111,106.0,16540,162.0,149.00900900900902,0.954954954954955,1.4594594594594594,102.09876543209876
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,SAIBABA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,64,58.0,5417,68.26,84.640625,0.90625,1.0665625,79.35833577497802
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,SANJAY NAGAR,NON-DOMESTIC AND COMMERCIAL,2,66,64.0,12817,101.26,194.1969696969697,0.9696969696969697,1.5342424242424244,126.5751530713016
